MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,MFCCs_ 4,MFCCs_ 5,MFCCs_ 6,MFCCs_ 7,MFCCs_ 8,MFCCs_ 9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,MFCCs_14,MFCCs_15,MFCCs_16,MFCCs_17,MFCCs_18,MFCCs_19,MFCCs_20,MFCCs_21,MFCCs_22,Family
1,0.021355509079986,0.712023051866591,0.54095893461901,0.00656149835901325,-0.0123963127354063,-0.0399058135936437,0.206433108329378,0.224516313259849,-0.132646168644503,-0.0788594283460196,0.140278092870423,0.0519081623961098,-0.0356448356437151,-0.0147386003802684,-0.0138482780361046,0.0374811331108663,0.0249814783406904,-0.023636452600781,-0.00224587605692373,0.00506514832997516,0.0187712605320897,Hylidae
1,0.235775577906347,0.179336231294391,0.507824538649265,0.273007551451118,0.0796470775128654,-0.0673758123091878,-0.12229557036544,0.19955032288008,0.364924949488644,-0.19035094821799,-0.35552998356008,0.262992638932308,0.431612971817097,-0.0698584738259191,-0.271285916240734,-0.113660724840131,0.1231321945457,0.212193562281066,0.119816216899938,-0.215874933972202,-0.174891094721485,Hylidae
1,0.427118743906235,0.220124683315614,0.562978780269308,0.244255650776358,0.0763676670693485,-0.071602643503082,0.0658203997901052,0.259135779817338,0.0676290239673454,-0.20710948384527,0.105256038004177,0.295000963741274,-0.0923114055613926,-0.222548591361773,0.0670425085856778,0.140408390878653,0.00161502101369771,-0.126532730137812,-0.169822945459872,0.0654748105188647,0.178420511657789,Leptodactylidae
1,0.477523795083154,0.395977303500369,0.592310985022469,0.140795363497779,0.0954406930840846,-0.0323045037195268,0.0711933268466215,0.254857735534691,0.0502043256558462,-0.238098839759884,0.244740793082011,0.399889104239407,-0.177770331031736,-0.304246414633878,0.197332539094394,0.163455855674115,-0.107861031943725,-0.150726230329331,-0.0378806710766161,0.171868076775125,0.204687823133193,Leptodactylidae
1,0.779935931940256,0.889201349371477,0.647043260396823,-0.119976239949182,0.454679393751883,0.22966690315084,-0.0422581213521868,0.178105564501273,-0.0484592843143205,-0.231867575991486,0.199413243480809,-0.126255996789553,-0.359098765719895,0.221082827753207,0.128258972269406,-0.177551267644301,0.00830686296316034,0.0784993409940885,0.0901892805471873,0.0581052250724992,-0.0734520269387987,Hylidae
0.671201627527375,0.894314632021988,1,0.193002814016883,-0.206844817793679,0.285572110586509,-0.00653415958763284,-0.0197422983401825,0.289372382153594,0.0998787845494913,-0.074667641571539,0.0922527314035536,0.125232558359725,0.0188798436236668,0.0322452961998219,0.183934821569092,-0.0694249615422326,-0.222311513406092,0.0713222443874412,0.0388082693947873,-0.0233617676615853,0.19859297502034,Hylidae
1,0.509845303789466,0.653280505033327,0.540365923748756,-0.242249970865539,-0.156555563439085,0.409251635139421,0.0868748877150352,-0.296439232603999,0.130367488725777,0.26823423247079,-0.146789201917327,-0.178383890391755,0.154978888836526,0.0519626707204067,-0.179830825261218,0.0128709423791632,0.181440036311616,0.013745599199116,-0.0769750494436115,0.0367760488010875,0.0720646711822296,Leptodactylidae
1,0.337290695522958,-0.110856644429829,-0.0575897810167074,-0.0437948376853439,0.320565932139511,0.545539099561505,0.248578254845349,-0.266548409741043,-0.315224515091448,-0.117187936827893,-0.00442518921632964,0.157979094866621,0.319188711473947,0.103152522014779,-0.204523655710897,-0.167529784357742,0.0358060853572224,0.0130256356372433,-0.0100110282743046,0.166377113949528,0.114442342231136,Dendrobatidae
1,0.222907331897709,0.157809023750982,0.545349542825713,0.240314040374985,0.057502736460212,-0.159653912841976,-0.0193941068184809,0.197977787803856,0.0444291555313016,-0.211437793495267,0.0832667191973307,0.113534755954188,-0.242331710370085,-0.124347029189365,0.22753257630502,0.105968451991919,-0.0908382381613609,-0.126490016555252,-0.0476898568844925,0.198779227819212,0.213940440274712,Leptodactylidae
1,0.510800637860971,0.62460059943106,0.500239113507971,-0.199506404298075,-0.136457789979012,0.380280815039782,-0.0219880197917749,-0.359555117180591,0.154103338650149,0.264934907625345,-0.0840005005384783,-0.0428384306269114,0.26072825543668,0.112230038465395,-0.130760998316915,0.0605940140193921,0.115145475875813,-0.0776184782287661,-0.0262950161012968,0.0954534495175644,0.0703282226155702,Leptodactylidae
